hilarity	amuzego	n.	w
laugh	ridi	v.ntr	
laugher	ridanto	n.	
laughter	ridado	*.	
ludicrous	ridindeco	n. ridiculousness	
ridiculous	ridinda	adj.	
smile	rideti	v.	
smile	rideto	n.	
smiles	ridetas	v.ntr	
smiling	ridetante	adv.	
smirk	rideti	v.	
sneer	rikani	v.	
snicker	klukridi	v.	
snicker	subridaĉi	v.	
snicker	subridi	v.	
sniggering	ridaĉado	n.	
titter	klukridi	v.	w
titter	subridaĉi	v.	w
titter	subridi	v.	w
tittering	subridado	n.	
funny	amuza	adj. amusing	
funny	ridinda	adj. worthy  of mocking	
giggle	klukridi	v.	
giggle	subridaĉi	v.	
giggle	subridi	v.	
joke	blagi	v.tr to put somebody on	
joke	blago	n. joking fib	
joke	ŝerco	n.	
off-color joke	pipro	n.	
joking around	pajacado	n.	
prank	petolo	n.	
pranks	pajacaĵoj	n.	
humor	humoro	n. emotional state or body fluid	
humor	humuro	n. wit	
practical joke	petolo	n.	
practical joke	ŝerco	n.	
practical jokes	pajacaĵoj	n.	

jester	bufono	n. court jester	w
buffoon	pajaco	n.	
clown	klaŭno	n. circus clown	
clown	pajaco	n. buffoon	
comedian	histriono	Third-rate comedian	
comic	bufono	crude comic performer	
comic	komika	adj.	
