people	popolo	n. populace	w
humanity	homaro	n. all humans	w
man	homo	n. gender-neutral sense
people	homoj	n.	w
human	homa	adj.	w
man	homaro	n., humanity 	

old lady	maljunulino	n.	
old man	maljunulo	n.	w
old people	maljunuloj	*	
old person	maljunulo	n.	
retired person	emerito	n.	
retired person	pensiulo	n.	
retiree	emerito	n.	
retiree	pensiulo	n.	
greybeard	grizbarbo	n. 	w

child	infano	n.	w
children	infanoj	n.	w
baby carriage	infanĉareto	n. 	
baby-sit	varti	v. 	

boy	knabo	n.	w
boyish	knaba	adj.	w
boy’s	knaba	adj. boyish
girl	knabino	n.	w

young person	junulo	n.	w
youth	junulo	n. young person	
young	juna	adj. 	w
youth	juneco	n. being young 	

teenager	junulo	n.	
master	fraŭlo	n.	
girl	fraŭlino	n. young lady, unmarried woman	w
maiden	fraŭlino	n.	w

adult	adolto	n. one fully grown	
adult	plenaĝulo	n.	
adult	plenkreskulo	n.	
grown-up	plenaĝulo	n.	
grown-up	plenkreskulo	n.	
grownup	plenkreskulo	n.	

parent	gepatro	n.	
parents	gepatroj	n.	

man	viro	n.	
men	viroj	n.	
mistress	mastrino	n. 	w
woman	virino	n.	w
women	virinoj	n.	w
half woman	duonvirino	n.

# FAMILY
race	raso	n. ethnicity GEOGRAPHY	w
ancient race	pra-raso	n. 	
blood	prasango	n. fig. ancestral blood	
forefathers	prapatroj	n.	
ancient stock	praularo	n. ancestry 	
forebears	prauloj	n. 	
ancestor	praulo	n.	w
ancestry	praularo	n.	w

family	familio	n.	w

husband	edzo	n.	
wife	edzino	n.	
wives	edzinoj	n.	

father	patro	n.	
daddy	paĉjo	n. 
mother	patrino	n.	
papa	paĉjo	b. father	w

son	filo	n.
daughter	filino	n. FAMILY	w

sister	fratino	n. incl nuns	

Little Child	Infaneto	n.

cousin	kuzo	female	
cousin	kuzino	female	

uncle	onklo	n.
aunt	onklino	n.

nephew	nevo	n.
niece	nevino	n.

fellow	ulo	n.	
male	masklo	n.	
female	ino	n.	

partner	partnero	n. in a vague & ambiguous sense	w
friend	amiko	n.	
pal	amiko	n.	
pair	paro	n. 	w
stranger	fremdulo	n
friendship	amikeco	n.	w

companion	kunulo	n.	
partner	kunulo	n. life partner, not married	w
fellowship	kunuleco	n.	w
cronies	kunuloj	n.	w

gentleman	sinjoro	n. 	w
gentlemen	sinjoroj	n.	w
bigwig	grandulo	n.	w

# MARRIAGE
marriage broker	svatisto	n.	
engaged to be married	fianĉiĝita	adj.	
proposed	proponis geedziĝon	phr. proposed marriage	
marriage	geedziĝo	n.	
get married	edziĝi	v.ntr become a husband	
get married	edziniĝi	v.ntr become a wife	
marry	edziniĝi	v.ntr become a wife	
get married	geedziĝi	v.ntr become a married couple, heterosexual	
bride	novedzino	n.	
just going to be married	jus geedziĝonta	adj.	
wedding	geedziĝo	n. 	
